CITY_DISTRICT_ID,SHIP_TO_CITY_CD,SHIP_TO_DISTRICT_NAME
860,甘孜藏族自治州,稻城县
861,青岛,李沧区
862,潍坊,昌邑市
863,乌鲁木齐,水磨沟区
864,安阳,滑县
865,榆林,米脂县
866,辽阳,灯塔市
867,黄冈,武穴市
868,濮阳,华龙区
869,三门峡,湖滨区
870,临沂,兰陵县
871,常德,鼎城区
872,玉林,陆川县
873,齐齐哈尔,拜泉县
874,哈尔滨,双城区
875,丽水,庆元县
876,四平,铁东区
877,石家庄,藁城区
878,湛江,霞山区
879,定西,岷县
880,威海,环翠区
881,丹东,东港市
882,临沂,平邑县
883,自贡,自流井区
884,桂林,象山区
885,宣城,广德市
886,黄冈,黄州区
887,台州,仙居县
888,大庆,萨尔图区
889,临沂,临沭县
890,哈尔滨,通河县
891,伊犁哈萨克自治州,伊宁市
892,绍兴,新昌县
893,阜阳,颍泉区
894,菏泽,牡丹区
895,宜宾,珙县
896,漳州,云霄县
897,齐齐哈尔,富拉尔基区
898,蚌埠,怀远县
899,济宁,金乡县
900,许昌,鄢陵县
901,黄冈,蕲春县
902,牡丹江,东安区
903,南宁,江南区
904,洛阳,洛龙区
905,梧州,万秀区
906,昆明,盘龙区
907,晋中,介休市
908,周口,川汇区
909,盐城,滨海县
910,天津,宁河区
911,昭通,镇雄县
912,抚顺,东洲区
913,济南,章丘区
914,邯郸,大名县
915,梅州,梅江区
916,鄂尔多斯,伊金霍洛旗
917,南昌,安义县
918,江门,新会区
919,泰安,宁阳县
920,黑河,孙吴县
921,朔州,朔城区
922,大连,中山区
923,合肥,巢湖市
924,大连,沙河口区
925,沧州,新华区
926,哈尔滨,宾县
927,淄博,临淄区
928,烟台,蓬莱市
929,延安,富县
930,肇庆,高要区
931,铜陵,枞阳县
932,湖州,德清县
933,日照,岚山区
934,周口,商水县
935,天津,红桥区
936,昆玉,昆玉市
937,丹东,凤城市
938,肇庆,端州区
939,锦州,凌河区
940,邢台,临城县
941,湛江,赤坎区
942,毕节,赫章县
943,湘潭,雨湖区
944,巴音郭楞蒙古自治州,库尔勒市
945,渭南,韩城市
946,上海,金山区
947,朝阳,建平县
948,荆州,洪湖市
949,赣州,会昌县
950,乌鲁木齐,头屯河区
951,宁波,慈溪市
952,汕尾,陆丰市
953,晋城,阳城县
954,林芝,巴宜区
955,济宁,汶上县
956,抚州,崇仁县
957,咸阳,长武县
958,九江,浔阳区
959,吉安,永丰县
960,南阳,南召县
961,天门,天门市
962,上海,崇明区
963,宁波,奉化区
964,韶关,乳源瑶族自治县
965,郑州,新密市
966,辽源,龙山区
967,邵阳,邵东市
968,开封,兰考县
969,阜阳,界首市
970,鄂尔多斯,鄂托克旗
971,长春,九台区
972,莆田,秀屿区
973,襄阳,枣阳市
974,自贡,大安区
975,乐山,峨眉山市
976,韶关,曲江区
977,上饶,德兴市
978,娄底,娄星区
979,梧州,长洲区
980,佳木斯,前进区
981,黔西南布依族苗族自治州,册亨县
982,郑州,中牟县
983,沈阳,皇姑区
984,临沂,罗庄区
985,长沙,雨花区
986,莆田,仙游县
987,西安,高陵区
988,运城,新绛县
989,厦门,同安区
990,永州,江华瑶族自治县
991,赣州,南康区
992,重庆,南川区
993,泰安,泰山区
994,江门,蓬江区
995,白城,洮南市
996,遵义,湄潭县
997,信阳,浉河区
998,唐山,古冶区
999,娄底,涟源市
1000,盘锦,大洼区
1001,琼海,琼海市
1002,西安,临潼区
1003,沈阳,于洪区
1004,阿坝藏族羌族自治州,马尔康市
1005,益阳,资阳区
1006,南阳,卧龙区
1007,广州,增城区
1008,漳州,诏安县
1009,揭阳,揭西县
1010,吕梁,交城县
1011,绵阳,安州区
1012,眉山,仁寿县
1013,酒泉,肃州区
1014,牡丹江,宁安市
1015,郴州,北湖区
1016,衡阳,雁峰区
1017,深圳,光明区
1018,忻州,繁峙县
1019,马鞍山,当涂县
1020,大连,旅顺口区
1021,包头,九原区
1022,福州,罗源县
1023,滨州,邹平市
1024,蚌埠,蚌山区
1025,漯河,源汇区
1026,衡水,桃城区
1027,金华,兰溪市
1028,南平,政和县
1029,温州,洞头区
1030,宜宾,叙州区
1031,沈阳,沈北新区
1032,南阳,镇平县
1033,荆门,沙洋县
1034,烟台,招远市
1035,迪庆藏族自治州,德钦县
1036,鞍山,铁西区
1037,吉林,丰满区
1038,黔南布依族苗族自治州,都匀市
1039,忻州,忻府区
1040,营口,盖州市
1041,宜昌,宜都市
1042,吉林,蛟河市
1043,西宁,湟中区
1044,新乡,红旗区
1045,唐山,迁安市
1046,厦门,海沧区
1047,岳阳,岳阳楼区
1048,上饶,婺源县
1049,运城,盐湖区
1050,芜湖,南陵县
1051,北京,延庆区
1052,河池,宜州区
1053,运城,永济市
1054,抚州,广昌县
1055,重庆,丰都县
1056,枣庄,峄城区
1057,资阳,雁江区
1058,阳泉,盂县
1059,宁波,宁海县
1060,松原,乾安县
1061,曲靖,宣威市
1062,重庆,璧山区
1063,大兴安岭地区,呼玛县
1064,长春,榆树市
1065,温州,龙港市
1066,大兴安岭地区,漠河市
1067,济南,槐荫区
1068,安庆,岳西县
1069,云浮,云安区
1070,芜湖,鸠江区
1071,鄂尔多斯,东胜区
1072,武汉,新洲区
1073,四平,公主岭市
1074,阿坝藏族羌族自治州,汶川县
1075,丽水,松阳县
1076,长治,沁源县
1077,台州,玉环市
1078,沧州,黄骅市
1079,阜阳,阜南县
1080,西安,阎良区
1081,晋中,平遥县
1082,鄂尔多斯,达拉特旗
1083,淄博,沂源县
1084,阜新,细河区
1085,兰州,七里河区
1086,宿州,灵璧县
1087,营口,大石桥市
1088,临汾,侯马市
1089,广安,广安区
1090,沧州,河间市
1091,清远,清城区
1092,德宏傣族景颇族自治州,芒市
1093,湛江,麻章区
1094,烟台,栖霞市
1095,武威,古浪县
1096,宝鸡,金台区
1097,衡阳,耒阳市
1098,黄冈,罗田县
1099,滁州,琅琊区
1100,汉中,南郑区
1101,东营,广饶县
1102,潍坊,临朐县
1103,太原,晋源区
1104,马鞍山,和县
1105,大连,庄河市
1106,沧州,南皮县
1107,焦作,沁阳市
1108,鄂尔多斯,准格尔旗
1109,鸡西,虎林市
1110,廊坊,文安县
1111,丽水,遂昌县
1112,赣州,于都县
1113,永州,冷水滩区
1114,宝鸡,麟游县
1115,廊坊,三河市
1116,石家庄,辛集市
1117,温州,龙湾区
1118,德阳,广汉市
1119,抚州,黎川县
1120,哈密市,巴里坤哈萨克自治县
1121,重庆,秀山土家族苗族自治县
1122,百色,那坡县
1123,保山,腾冲市
1124,呼和浩特,土默特左旗
1125,石家庄,晋州市
1126,临沂,沂水县
1127,枣庄,市中区
1128,宿州,萧县
1129,七台河,茄子河区
1130,沈阳,苏家屯区
1131,绥化,望奎县
1132,滁州,明光市
1133,西宁,城中区
1134,岳阳,平江县
1135,齐齐哈尔,昂昂溪区
1136,保定,涿州市
1137,海南藏族自治州,共和县
1138,绥化,庆安县
1139,廊坊,霸州市
1140,运城,河津市
1141,连云港,连云区
1142,德阳,旌阳区
1143,遵义,凤冈县
1144,淮南,凤台县
1145,绍兴,柯桥区
1146,赣州,瑞金市
1147,唐山,路南区
1148,辽阳,文圣区
1149,济南,济阳区
1150,重庆,云阳县
1151,崇左,凭祥市
1152,成都,崇州市
1153,荆门,京山市
1154,葫芦岛,连山区
1155,金昌,金川区
1156,洛阳,涧西区
1157,云浮,罗定市
1158,喀什地区,喀什市
1159,信阳,固始县
1160,淮南,大通区
1161,漳州,南靖县
1162,贵阳,清镇市
1163,宜春,上高县
1164,南京,溧水区
1165,岳阳,岳阳县
1166,衡阳,衡南县
1167,宁德,周宁县
1168,梅州,梅县区
1169,周口,鹿邑县
1170,武威,凉州区
1171,荆州,江陵县
1172,洛阳,伊川县
1173,铜陵,铜官区
1174,广元,苍溪县
1175,泉州,南安市
1176,安庆,宿松县
1177,长沙,宁乡市
1178,沈阳,浑南区
1179,呼和浩特,和林格尔县
1180,株洲,芦淞区
1181,巴音郭楞蒙古自治州,尉犁县
1182,四平,铁西区
1183,南充,南部县
1184,伊春,南岔县
1185,滨州,阳信县
